 energy shell parameters
             Nshells                80
              kstart      63.770000000
                kend    1660.000000000
                  Np                40
 isotropic coordinates
    i    j                 x                 y                 z
    3   42  -0.619207635E+02   0.104437363E+01   0.837758041E+02
    3   43  -0.733810855E+01   0.614932828E+02   0.837758041E+02
    3   44  -0.692640398E+01   0.951371936E+02   0.418879020E+02
    3   45  -0.475465208E+02   0.826945527E+02   0.418879020E+02
    3   46  -0.885783421E+02   0.353968642E+02   0.418879020E+02
    3   47  -0.939220600E+02  -0.166645530E+02  -0.418879020E+02
    3   48  -0.830890461E+02  -0.468537202E+02   0.418879020E+02
    3   49  -0.763680491E+02  -0.571575170E+02   0.418879020E+02
    3   50   0.524092595E+02  -0.329930476E+02   0.837758041E+02
    3   51   0.606871204E+02   0.123428152E+02   0.837758041E+02
    3   52   0.728883538E+02   0.615333126E+02   0.418879020E+02
    3   53   0.674502064E+02   0.674502064E+02   0.418879020E+02
    3   54  -0.674502064E+02   0.674502064E+02  -0.418879020E+02
    3   55  -0.553100610E+02   0.777165223E+02  -0.418879020E+02
    3   56  -0.920256342E+02   0.251066391E+02  -0.418879020E+02
    3   57  -0.837005304E+02  -0.457523977E+02  -0.418879020E+02
    3   58  -0.626290142E+02  -0.719490602E+02  -0.418879020E+02
    3   59  -0.246643292E+02  -0.921451657E+02   0.418879020E+02
    3   60   0.237069555E+02  -0.923961089E+02   0.418879020E+02
    3   61   0.671272985E+02  -0.677715757E+02   0.418879020E+02
    3   62   0.918110479E+02   0.258803433E+02   0.418879020E+02
    3   63   0.804522651E+02   0.512493290E+02   0.418879020E+02
    3   64   0.620580031E+02   0.724421489E+02  -0.418879020E+02
    3   65   0.570256658E+02   0.764665556E+02  -0.418879020E+02
    3   66  -0.307658123E+02   0.537469670E+02  -0.837758041E+02
    3   67  -0.662554377E+02   0.686241769E+02  -0.418879020E+02
    3   68  -0.264695969E+02  -0.916429000E+02  -0.418879020E+02
    3   69   0.674502064E+02  -0.674502064E+02  -0.418879020E+02
    3   70   0.355093390E+02  -0.885333131E+02   0.418879020E+02
    3   71   0.941142777E+02  -0.155423105E+02   0.418879020E+02
    3   72   0.674502064E+02   0.674502064E+02  -0.418879020E+02
    3   73   0.707799495E+02   0.639473177E+02  -0.418879020E+02
    3   74   0.593157254E+02   0.178021457E+02  -0.837758041E+02
    3   75  -0.194496079E+02  -0.587961259E+02  -0.837758041E+02
    3   76   0.590075589E+02  -0.749477730E+02  -0.418879020E+02
    3   77   0.899280186E+02  -0.318121385E+02  -0.418879020E+02
    3   78   0.335313351E+02  -0.520665079E+02  -0.837758041E+02
    4    1  -0.107716763E+03  -0.459832741E+02   0.418879020E+02
    4    2  -0.828171556E+02   0.828171556E+02   0.418879020E+02
    4    3  -0.114332318E+03  -0.254063680E+02  -0.418879020E+02
    4    4  -0.806571090E+02  -0.849222780E+02  -0.418879020E+02
    4    5  -0.638296199E+02  -0.981995018E+02   0.418879020E+02
    4    6  -0.647145554E+02  -0.653115598E+02   0.837758041E+02
    4    7  -0.938751216E+02   0.700344493E+02   0.418879020E+02
    4    8  -0.801514002E+02   0.853997399E+02   0.418879020E+02
    4    9  -0.982325008E+02   0.637788234E+02  -0.418879020E+02
    4   10  -0.114613244E+03   0.241074002E+02  -0.418879020E+02
    4   11  -0.742413798E+02  -0.542382802E+02  -0.837758041E+02
    4   12  -0.657870424E+02  -0.968990587E+02  -0.418879020E+02
    4   13  -0.828171556E+02  -0.828171556E+02  -0.418879020E+02
    4   14   0.772472350E+01  -0.116866125E+03   0.418879020E+02
    4   15   0.676078947E+02  -0.623116850E+02   0.837758041E+02
    4   16  -0.162663975E+02   0.904929712E+02   0.837758041E+02
    4   17  -0.707707357E+02   0.586947739E+02   0.837758041E+02
    4   18  -0.828171556E+02   0.828171556E+02   0.418879020E+02
    4   19  -0.401244751E+02   0.110033581E+03  -0.418879020E+02
    4   20  -0.425997988E+02   0.814790198E+02  -0.837758041E+02
    4   21  -0.914760688E+02   0.925755648E+01  -0.837758041E+02
    4   22   0.751274412E+02  -0.530041611E+02  -0.837758041E+02
    4   23   0.665745128E+02  -0.963597259E+02  -0.418879020E+02
    4   24   0.475282379E+02  -0.107044052E+03  -0.418879020E+02
    4   25   0.747694134E+02  -0.901493059E+02   0.418879020E+02
    4   26   0.677361815E+02  -0.621722063E+02   0.837758041E+02
    4   27   0.441193759E+02   0.806663138E+02   0.837758041E+02
    4   28   0.114171656E+02   0.912316932E+02   0.837758041E+02
    4   29   0.828171556E+02   0.828171556E+02  -0.418879020E+02
    4   30   0.260705894E+02   0.114182691E+03  -0.418879020E+02
    4   31   0.882053545E+02   0.259497392E+02  -0.837758041E+02
    4   32   0.744581284E+02  -0.539403433E+02  -0.837758041E+02
    4   33   0.105553442E+03  -0.507526684E+02  -0.418879020E+02
    4   34   0.113566430E+03  -0.286361416E+02   0.418879020E+02
    4   35   0.101141318E+03   0.590575680E+02   0.418879020E+02
    4   36   0.682184423E+02   0.952029761E+02   0.418879020E+02
    4   37   0.904910901E+02   0.743553976E+02  -0.418879020E+02
    4   38   0.828171556E+02   0.828171556E+02  -0.418879020E+02
    4   39   0.103360846E+03   0.550808327E+02  -0.418879020E+02
    4   40  -0.107716763E+03   0.459832741E+02  -0.418879020E+02
    4   41  -0.828171556E+02  -0.828171556E+02  -0.418879020E+02
    4   42  -0.114332318E+03   0.254063680E+02   0.418879020E+02
    4   43  -0.806571090E+02   0.849222780E+02   0.418879020E+02
    4   44  -0.638296199E+02   0.981995018E+02  -0.418879020E+02
    4   45  -0.647145554E+02   0.653115598E+02  -0.837758041E+02
    4   46  -0.938751216E+02  -0.700344493E+02  -0.418879020E+02
    4   47  -0.801514002E+02  -0.853997399E+02  -0.418879020E+02
    4   48  -0.982325008E+02  -0.637788234E+02   0.418879020E+02
    4   49  -0.114613244E+03  -0.241074002E+02   0.418879020E+02
    4   50  -0.742413798E+02   0.542382802E+02   0.837758041E+02
    4   51  -0.657870424E+02   0.968990587E+02   0.418879020E+02
    4   52  -0.828171556E+02   0.828171556E+02   0.418879020E+02
    4   53   0.772472350E+01   0.116866125E+03  -0.418879020E+02
    4   54   0.676078947E+02   0.623116850E+02  -0.837758041E+02
    4   55  -0.162663975E+02  -0.904929712E+02  -0.837758041E+02
    4   56  -0.707707357E+02  -0.586947739E+02  -0.837758041E+02
    4   57  -0.828171556E+02  -0.828171556E+02  -0.418879020E+02
    4   58  -0.401244751E+02  -0.110033581E+03   0.418879020E+02
    4   59  -0.425997988E+02  -0.814790198E+02   0.837758041E+02
    4   60  -0.914760688E+02  -0.925755648E+01   0.837758041E+02
    4   61   0.751274412E+02   0.530041611E+02   0.837758041E+02
    4   62   0.665745128E+02   0.963597259E+02   0.418879020E+02
    4   63   0.475282379E+02   0.107044052E+03   0.418879020E+02
    4   64   0.747694134E+02   0.901493059E+02  -0.418879020E+02
    4   65   0.677361815E+02   0.621722063E+02  -0.837758041E+02
    4   66   0.441193759E+02  -0.806663138E+02  -0.837758041E+02
    4   67   0.114171656E+02  -0.912316932E+02  -0.837758041E+02
    4   68   0.828171556E+02  -0.828171556E+02   0.418879020E+02
    4   69   0.260705894E+02  -0.114182691E+03   0.418879020E+02
    4   70   0.882053545E+02  -0.259497392E+02   0.837758041E+02
    4   71   0.744581284E+02   0.539403433E+02   0.837758041E+02
    4   72   0.105553442E+03   0.507526684E+02   0.418879020E+02
    4   73   0.113566430E+03   0.286361416E+02  -0.418879020E+02
    4   74   0.101141318E+03  -0.590575680E+02  -0.418879020E+02
    4   75   0.682184423E+02  -0.952029761E+02  -0.418879020E+02
    4   76   0.904910901E+02  -0.743553976E+02   0.418879020E+02
    4   77   0.828171556E+02  -0.828171556E+02   0.418879020E+02
    4   78   0.103360846E+03  -0.550808327E+02   0.418879020E+02
    5    1   0.146539809E+02  -0.116934409E+03  -0.837758041E+02
    5    2   0.597087979E+02  -0.393735061E+02  -0.125663706E+03
    5    3   0.894258477E+02  -0.767555405E+02  -0.837758041E+02
    5    4   0.420447630E+02  -0.131849999E+03  -0.418879020E+02
    5    5  -0.350533715E+02  -0.133878472E+03  -0.418879020E+02
    5    6  -0.954920695E+02  -0.690627242E+02  -0.837758041E+02
    5    7  -0.695789723E+02  -0.165583860E+02  -0.125663706E+03
    5    8   0.367114969E+02   0.111985094E+03  -0.837758041E+02
    5    9   0.111360879E+03   0.385635833E+02  -0.837758041E+02
    5   10   0.136986847E+03  -0.196669276E+02  -0.418879020E+02
    5   11   0.109928470E+03  -0.840708971E+02   0.418879020E+02
    5   12   0.560866298E+02  -0.126516695E+03   0.418879020E+02
    5   13  -0.978575093E+02  -0.978575093E+02   0.418879020E+02
    5   14  -0.836855763E+02  -0.110222087E+03  -0.418879020E+02
    5   15  -0.124363529E+03  -0.607115887E+02  -0.418879020E+02
    5   16  -0.117193548E+03   0.124123930E+02  -0.837758041E+02
    5   17  -0.439116625E+02   0.109362522E+03  -0.837758041E+02
    5   18   0.560528770E+02   0.126531653E+03  -0.418879020E+02
    5   19   0.950009187E+02   0.100633045E+03  -0.418879020E+02
    5   20   0.129441122E+03   0.489610061E+02   0.418879020E+02
    5   21   0.132983682E+03  -0.383082820E+02   0.418879020E+02
    5   22   0.871874171E+02  -0.792890252E+02   0.837758041E+02
    5   23   0.130476382E+02  -0.117124525E+03   0.837758041E+02
    5   24  -0.710587008E+02  -0.940162553E+02   0.837758041E+02
    5   25  -0.124581592E+03  -0.602628504E+02   0.418879020E+02
    5   26  -0.978575093E+02   0.978575093E+02   0.418879020E+02
    5   27  -0.118992045E+03   0.706617116E+02  -0.418879020E+02
    5   28  -0.564923459E+02   0.126336056E+03  -0.418879020E+02
    5   29   0.320678397E+02   0.134624804E+03   0.418879020E+02
    5   30   0.996465423E+02   0.960351542E+02   0.418879020E+02
    5   31   0.908153910E+02   0.751063245E+02   0.837758041E+02
    5   32   0.681192504E+02  -0.217986525E+02   0.125663706E+03
    5   33  -0.662950850E+02  -0.268398070E+02   0.125663706E+03
    5   34  -0.110059124E+03   0.421353121E+02   0.837758041E+02
    5   35  -0.110085836E+03   0.838647305E+02   0.418879020E+02
    5   36  -0.314897064E+02   0.134761206E+03   0.418879020E+02
    5   37   0.856622115E+02   0.809344225E+02   0.837758041E+02
    5   38  -0.387510804E+02   0.601146180E+02   0.125663706E+03
    5   39  -0.295462007E+02   0.114085132E+03   0.837758041E+02
    5   40   0.146539809E+02   0.116934409E+03   0.837758041E+02
    5   41   0.597087979E+02   0.393735061E+02   0.125663706E+03
    5   42   0.894258477E+02   0.767555405E+02   0.837758041E+02
    5   43   0.420447630E+02   0.131849999E+03   0.418879020E+02
    5   44  -0.350533715E+02   0.133878472E+03   0.418879020E+02
    5   45  -0.954920695E+02   0.690627242E+02   0.837758041E+02
    5   46  -0.695789723E+02   0.165583860E+02   0.125663706E+03
    5   47   0.367114969E+02  -0.111985094E+03   0.837758041E+02
    5   48   0.111360879E+03  -0.385635833E+02   0.837758041E+02
    5   49   0.136986847E+03   0.196669276E+02   0.418879020E+02
    5   50   0.109928470E+03   0.840708971E+02  -0.418879020E+02
    5   51   0.560866298E+02   0.126516695E+03  -0.418879020E+02
    5   52  -0.978575093E+02   0.978575093E+02  -0.418879020E+02
    5   53  -0.836855763E+02   0.110222087E+03   0.418879020E+02
    5   54  -0.124363529E+03   0.607115887E+02   0.418879020E+02
    5   55  -0.117193548E+03  -0.124123930E+02   0.837758041E+02
    5   56  -0.439116625E+02  -0.109362522E+03   0.837758041E+02
    5   57   0.560528770E+02  -0.126531653E+03   0.418879020E+02
    5   58   0.950009187E+02  -0.100633045E+03   0.418879020E+02
    5   59   0.129441122E+03  -0.489610061E+02  -0.418879020E+02
    5   60   0.132983682E+03   0.383082820E+02  -0.418879020E+02
    5   61   0.871874171E+02   0.792890252E+02  -0.837758041E+02
    5   62   0.130476382E+02   0.117124525E+03  -0.837758041E+02
    5   63  -0.710587008E+02   0.940162553E+02  -0.837758041E+02
    5   64  -0.124581592E+03   0.602628504E+02  -0.418879020E+02
    5   65  -0.978575093E+02  -0.978575093E+02  -0.418879020E+02
    5   66  -0.118992045E+03  -0.706617116E+02   0.418879020E+02
    5   67  -0.564923459E+02  -0.126336056E+03   0.418879020E+02
    5   68   0.320678397E+02  -0.134624804E+03  -0.418879020E+02
    5   69   0.996465423E+02  -0.960351542E+02  -0.418879020E+02
    5   70   0.908153910E+02  -0.751063245E+02  -0.837758041E+02
    5   71   0.681192504E+02   0.217986525E+02  -0.125663706E+03
    5   72  -0.662950850E+02   0.268398070E+02  -0.125663706E+03
    5   73  -0.110059124E+03  -0.421353121E+02  -0.837758041E+02
    5   74  -0.110085836E+03  -0.838647305E+02  -0.418879020E+02
    5   75  -0.314897064E+02  -0.134761206E+03  -0.418879020E+02
    5   76   0.856622115E+02  -0.809344225E+02  -0.837758041E+02
    5   77  -0.387510804E+02  -0.601146180E+02  -0.125663706E+03
    5   78  -0.295462007E+02  -0.114085132E+03  -0.837758041E+02
    6    1   0.106140481E+03   0.100475571E+02  -0.125663706E+03
    6    2  -0.933012130E+02   0.515910724E+02  -0.125663706E+03
    6    3   0.501353315E+02   0.132763645E+03  -0.837758041E+02
    6    4   0.131143825E+03   0.542312992E+02  -0.837758041E+02
    6    5   0.137610389E+03  -0.346859866E+02  -0.837758041E+02
    6    6   0.699441223E+02  -0.804647429E+02  -0.125663706E+03
    6    7  -0.998674566E+02  -0.373262135E+02  -0.125663706E+03
    6    8  -0.140860890E+03   0.172611224E+02  -0.837758041E+02
    6    9  -0.982832550E+02   0.102372548E+03  -0.837758041E+02
    6   10  -0.800264375E+01   0.159183804E+03  -0.418879020E+02
    6   11   0.772617495E+02   0.139406413E+03  -0.418879020E+02
    6   12   0.143133831E+03   0.701158492E+02  -0.418879020E+02
    6   13   0.112702098E+03  -0.112702098E+03  -0.418879020E+02
    6   14   0.128696833E+03  -0.940247358E+02  -0.418879020E+02
    6   15   0.609866783E+02  -0.147255393E+03  -0.418879020E+02
    6   16  -0.242777150E+02  -0.139822492E+03  -0.837758041E+02
    6   17  -0.901497962E+02  -0.109602696E+03  -0.837758041E+02
    6   18  -0.159345775E+03   0.352842102E+01  -0.418879020E+02
    6   19  -0.135216216E+03   0.843806885E+02  -0.418879020E+02
